Step,X,Y,Z
7080,2,-1.36451e+06,6.60108e+06,0
7140,0,846.301,5.35519,0
7140,1,3.84331e+08,7.29767e+06,0
7140,2,-1.81275e+06,6.4908e+06,0
7200,0,860.581,5.49131,0
7200,1,3.8433e+08,7.35898e+06,0
7200,2,-2.25249e+06,6.35011e+06,0
7260,0,874.98,5.62972,0
7260,1,3.84329e+08,7.42028e+06,0
7260,2,-2.68166e+06,6.17964e+06,0
7320,0,889.499,5.77043,0
7320,1,3.84328e+08,7.48159e+06,0
7320,2,-3.09825e+06,5.98018e+06,0
7380,0,904.137,5.91347,0
7380,1,3.84327e+08,7.5429e+06,0
7380,2,-3.50029e+06,5.75264e+06,0
7440,0,918.895,6.05886,0
7440,1,3.84325e+08,7.60421e+06,0
7440,2,-3.88589e+06,5.4981e+06,0
7500,0,933.772,6.20661,0
7500,1,3.84324e+08,7.66552e+06,0
7500,2,-4.25322e+06,5.21771e+06,0
7560,0,948.768,6.35674,0
7560,1,3.84323e+08,7.72683e+06,0
7560,2,-4.60056e+06,4.9128e+06,0
7620,0,963.885,6.50927,0
7620,1,3.84322e+08,7.78813e+06,0
7620,2,-4.92625e+06,4.58478e+06,0
7680,0,979.12,6.66423,0
7680,1,3.8432e+08,7.84944e+06,0
7680,2,-5.22876e+06,4.2352e+06,0
7740,0,994.475,6.82162,0
7740,1,3.84319e+08,7.91075e+06,0
7740,2,-5.50666e+06,3.86568e+06,0
7800,0,1009.95,6.98147,0
7800,1,3.84318e+08,7.97205e+06,0
7800,2,-5.75863e+06,3.47796e+06,0
7860,0,1025.54,7.1438,0
7860,1,3.84317e+08,8.03336e+06,0
7860,2,-5.98348e+06,3.07386e+06,0
7920,0,1041.26,7.30863,0
7920,1,3.84315e+08,8.09467e+06,0
7920,2,-6.18013e+06,2.65529e+06,0
7980,0,1057.09,7.47597,0
7980,1,3.84314e+08,8.15597e+06,0
7980,2,-6.34767e+06,2.2242e+06,0
8040,0,1073.04,7.64585,0
8040,1,3.84313e+08,8.21728e+06,0
8040,2,-6.48529e+06,1.78264e+06,0
8100,0,1089.11,7.81828,0
8100,1,3.84311e+08,8.27859e+06,0
